iter	Passed	Remaining
505	710	693
506	711	692
507	714	691
508	715	689
509	716	688
510	717	686
511	718	684
512	719	683
513	720	681
514	721	679
515	723	678
516	724	676
517	725	674
518	726	673
519	727	671
520	728	669
521	729	667
522	730	666
523	731	664
524	732	662
525	733	661
526	734	659
527	735	657
528	736	656
529	737	654
530	738	652
531	739	650
532	741	649
533	742	647
534	743	645
535	744	644
536	745	642
537	746	641
538	747	639
539	748	637
540	749	636
541	750	634
542	752	632
543	753	631
544	754	629
545	755	627
546	756	626
547	757	624
548	758	623
549	759	621
550	760	619
551	761	618
552	762	616
553	763	615
554	765	613
555	766	611
556	767	610
557	768	608
558	769	606
559	770	605
560	771	603
561	772	602
562	773	600
563	774	598
564	775	597
565	776	595
566	778	594
567	779	592
568	780	590
569	781	589
570	782	587
571	783	586
572	784	584
573	785	582
574	786	581
575	787	579
576	789	578
577	790	576
578	791	575
579	792	573
580	793	572
581	794	570
582	795	569
583	796	567
584	797	565
585	798	564
586	799	562
587	801	561
588	802	559
589	803	558
590	804	556
591	805	555
592	806	553
593	807	552
594	808	550
595	809	549
596	810	547
597	812	545
598	813	544
599	814	542
600	815	541
601	816	539
602	817	538
603	818	536
604	819	535
605	820	533
606	821	532
607	822	530
608	823	528
609	824	527
610	826	525
611	827	524
612	828	522
613	829	521
614	830	519
615	831	518
616	832	516
617	833	515
618	834	513
619	835	512
620	836	510
621	837	509
622	838	507
623	839	506
624	840	504
625	841	502
626	842	501
627	843	499
628	844	498
629	846	496
630	847	495
631	848	493
632	849	492
633	850	490
634	851	489
635	852	487
636	853	486
637	854	484
638	855	483
639	856	481
640	857	480
641	858	478
642	859	477
643	860	475
644	861	474
645	863	472
646	864	471
647	865	469
648	866	468
649	867	466
650	868	465
651	869	464
652	870	462
653	871	461
654	872	459
655	873	458
656	875	456
657	876	455
658	877	453
659	878	452
660	879	451
661	880	449
662	881	448
663	882	446
664	883	445
665	885	443
666	886	442
667	887	440
668	888	439
669	889	438
670	890	436
671	891	435
672	892	433
673	893	432
674	894	430
675	896	429
676	897	428
677	898	426
678	900	425
679	901	424
680	902	422
681	903	421
682	904	419
683	905	418
684	906	416
685	907	415
686	908	414
687	909	412
688	911	411
689	912	410
690	913	408
691	914	407
692	915	405
693	917	404
694	918	402
695	919	401
696	920	400
697	921	398
698	922	397
699	923	395
700	924	394
701	925	393
702	926	391
703	927	390
704	929	388
705	929	387
706	930	385
707	931	384
708	933	382
709	934	381
710	935	380
711	936	378
712	937	377
713	938	375
714	939	374
715	940	373
716	941	371
717	942	370
718	943	368
719	944	367
720	946	366
721	947	364
722	948	363
723	949	361
724	950	360
725	951	359
726	952	357
727	953	356
728	954	354
729	955	353
730	956	352
731	958	350
732	959	349
733	960	348
734	961	346
735	962	345
736	963	343
737	964	342
738	965	341
739	966	339
740	967	338
741	968	336
742	969	335
743	970	334
744	972	332
745	973	331
746	974	329
747	975	328
748	976	327
749	977	325
750	978	324
751	979	323
752	980	321
753	981	320
754	982	318
755	983	317
756	984	316
757	985	314
758	987	313
759	988	312
760	989	310
761	990	309
762	991	308
763	992	306
764	994	305
765	995	303
766	996	302
767	997	301
768	998	299
769	999	298
770	1000	297
771	1001	295
772	1003	294
773	1004	293
774	1005	291
775	1006	290
776	1007	289
777	1008	287
778	1009	286
779	1010	285
780	1011	283
781	1012	282
782	1013	281
783	1015	279
784	1016	278
785	1017	277
786	1018	275
787	1020	274
788	1021	273
789	1022	271
790	1023	270
791	1024	269
792	1025	267
793	1026	266
794	1027	265
795	1029	263
796	1030	262
797	1031	261
798	1032	259
799	1033	258
800	1034	257
801	1035	255
802	1036	254
803	1037	252
804	1038	251
805	1039	250
806	1040	248
807	1042	247
808	1043	246
809	1044	244
810	1045	243
811	1046	242
812	1047	240
813	1048	239
814	1049	238
815	1050	236
816	1051	235
817	1052	234
818	1053	232
819	1054	231
820	1055	230
821	1056	228
822	1057	227
823	1058	226
824	1060	224
825	1061	223
826	1062	222
827	1063	220
828	1064	219
829	1065	218
830	1066	216
831	1067	215
832	1068	214
833	1069	212
834	1070	211
835	1071	210
836	1072	208
837	1073	207
838	1075	206
839	1076	204
840	1077	203
841	1078	202
842	1079	201
843	1080	199
844	1081	198
845	1082	197
846	1083	195
847	1084	194
848	1085	193
849	1086	191
850	1087	190
851	1089	189
852	1090	187
853	1091	186
854	1092	185
855	1093	183
856	1094	182
857	1095	181
858	1096	179
859	1097	178
860	1098	177
861	1099	176
862	1100	174
863	1101	173
864	1102	172
865	1103	170
866	1104	169
867	1105	168
868	1106	166
869	1107	165
870	1108	164
871	1109	162
872	1111	161
873	1112	160
874	1113	159
875	1114	157
876	1115	156
877	1116	155
878	1117	153
879	1118	152
880	1119	151
881	1120	149
882	1121	148
883	1122	147
884	1123	146
885	1124	144
886	1125	143
887	1126	142
888	1127	140
889	1129	139
890	1130	138
891	1131	136
892	1132	135
893	1133	134
894	1134	133
895	1135	131
896	1136	130
897	1137	129
898	1138	127
899	1139	126
900	1140	125
901	1141	124
902	1142	122
903	1144	121
904	1145	120
905	1147	119
906	1148	117
907	1149	116
908	1150	115
909	1151	113
910	1152	112
911	1153	111
912	1154	110
913	1155	108
914	1156	107
915	1158	106
916	1159	104
917	1160	103
918	1161	102
919	1162	101
920	1163	99
921	1164	98
922	1165	97
923	1166	95
924	1167	94
925	1168	93
926	1169	92
927	1170	90
928	1171	89
929	1173	88
930	1174	87
931	1175	85
932	1176	84
933	1177	83
934	1178	81
935	1179	80
936	1180	79
937	1181	78
938	1182	76
939	1183	75
940	1184	74
941	1185	73
942	1186	71
943	1187	70
944	1188	69
945	1189	67
946	1191	66
947	1192	65
948	1193	64
949	1194	62
950	1195	61
951	1196	60
952	1197	59
953	1198	57
954	1199	56
955	1200	55
956	1201	53
957	1202	52
958	1203	51
959	1204	50
960	1205	48
961	1206	47
962	1207	46
963	1209	45
964	1210	43
965	1211	42
966	1212	41
967	1213	40
968	1214	38
969	1215	37
970	1216	36
971	1217	35
972	1218	33
973	1219	32
974	1220	31
975	1221	30
976	1222	28
977	1223	27
978	1224	26
979	1225	25
980	1226	23
981	1227	22
982	1229	21
983	1230	20
984	1231	18
985	1232	17
986	1233	16
987	1234	14
988	1235	13
989	1236	12
990	1237	11
991	1238	9
992	1239	8
993	1240	7
994	1241	6
995	1242	4
996	1243	3
997	1244	2
998	1246	1
999	1247	0
